"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","M4A5Cf","ah5Ghc 2"
"https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x6001034fa0f175d5:0x54e490f2dec3b494!8m2!3d34.8730485!4d135.6641743!16s%2Fg%2F1tr9n9rs!19sChIJ1XXxoE8DAWARlLTD3vKQ5FQ?authuser=0&hl=es-419&rclk=1","7-Eleven","2.8","(43)","Tienda de alimentación","·","","·","3 Chome-6-21 Takahama","Abierto las 24 horas","·","075-961-5212","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x600107ad01125b2d:0x6663b1a1443846e8!8m2!3d35.0038858!4d135.7185239!16s%2Fg%2F1tk6vtjd!19sChIJLVsSAa0HAWAR6EY4RKGxY2Y?authuser=0&hl=es-419&rclk=1","FamilyMart","3.5","(6)","Tienda de alimentación","·","","Saiinkasamecho, ６−6 Bldg.1, 地下（コンパーニョ","·","Abierto","","075-325-5676","https://www.family.co.jp/","","Sitio web","","Indicaciones","","",""
"https://www.google.com/maps/place/FamilyMart+Uji+Makishimacho+Megawa/data=!4m7!3m6!1s0x600110258c855555:0x120271a87d288ef3!8m2!3d34.9131451!4d135.7802068!16s%2Fg%2F1tcxv430!19sChIJVVWFjCUQAWAR844ofahxAhI?authuser=0&hl=es-419&rclk=1","FamilyMart Uji Makishimacho Megawa","3.4","(18)","Tienda de alimentación","·","","·","Megawa-27-1 Makishimacho","Abierto las 24 horas","·","0774-25-0035","","","Indicaciones","","","Retiro en tienda","",""
"https://www.google.com/maps/place/FamilyMart+-+Marutamachi+Inokuma/data=!4m7!3m6!1s0x6001087fc0d9d207:0xa169a134a023b4d!8m2!3d35.0175258!4d135.7508029!16s%2Fg%2F1tfkw614!19sChIJB9LZwH8IAWARTTsCShOaFgo?authuser=0&hl=es-419&rclk=1","FamilyMart - Marutamachi Inokuma","3.7","(29)","Tienda de alimentación","·","","Nishimarutacho, 185 京都二条ハイツ １Ｆ","·","Abierto las 24 horas","","075-803-1188","https://as.chizumaru.com/famima/detailMap?account=famima&accmd=0&bid=53066","","Sitio web","","Indicaciones","""El mejor family mart q hemos visitado de Japón.""","",""
"https://www.google.com/maps/place/7-Eleven+JR-Nishiojieki-mae/data=!4m7!3m6!1s0x6001066c984aa1b9:0x4cd5a6723e3ba367!8m2!3d34.9807106!4d135.7320584!16s%2Fg%2F1wh4frlm!19sChIJuaFKmGwGAWARZ6M7PnKm1Uw?authuser=0&hl=es-419&rclk=1","7-Eleven JR-Nishiojieki-mae","2.5","(46)","Tienda de alimentación","·","","·","23 Karahashi Nishihiragakicho","Abierto las 24 horas","·","075-661-2512","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/FamilyMart+Uji+Makishima+Ichinotsubo/data=!4m7!3m6!1s0x600110365001b8c9:0x6e64a12863a6175e!8m2!3d34.9041609!4d135.7833323!16s%2Fg%2F1tfm6kkf!19sChIJybgBUDYQAWARXhemYyihZG4?authuser=0&hl=es-419&rclk=1","FamilyMart Uji Makishima Ichinotsubo","3.8","(30)","Tienda de alimentación","·","","·","Ichinotsubo-17-1 Makishimacho","Abierto las 24 horas","·","0774-25-5353","http://www.family.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Lawson+Shij%C5%8D+Nishik%C5%8Dji/data=!4m7!3m6!1s0x600107b24eb2ff01:0xf30b6d19b4c944c6!8m2!3d35.0037038!4d135.7257526!16s%2Fg%2F1tgd6f3w!19sChIJAf-yTrIHAWARxkTJtBltC_M?authuser=0&hl=es-419&rclk=1","Lawson Shijō Nishikōji","2.9","(56)","Tienda de alimentación","·","","·","78 Saiininuicho","Abierto las 24 horas","·","075-323-7676","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600107a57423be05:0x42a826fea648e03a!8m2!3d35.0038309!4d135.7514517!16s%2Fg%2F12m9jndpf!19sChIJBb4jdKUHAWAROuBIpv4mqEI?authuser=0&hl=es-419&rclk=1","7-Eleven","2.3","(79)","Tienda de alimentación","·","","·","535 Karatsuyacho","Abierto las 24 horas","·","075-812-1505","http://www.sej.co.jp/","","Sitio web","","Indicaciones","""A parte, el cajero ha sido muy amable.""","",""
"https://www.google.com/maps/place/FamilyMart+-+Kawaramachi+Marutamachi/data=!4m7!3m6!1s0x6001088b1cfa1eb1:0xee3d1c2f8dacb44c!8m2!3d35.0181709!4d135.7693177!16s%2Fg%2F11dxs38c8r!19sChIJsR76HIsIAWARTLSsjS8cPe4?authuser=0&hl=es-419&rclk=1","FamilyMart - Kawaramachi Marutamachi","2.5","(31)","Tienda de alimentación","·","","363 Masuyacho","·","Abierto las 24 horas","","075-254-7614","https://as.chizumaru.com/famima/detailmap?account=famima&bid=30488","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Lawson+-+Shij%C5%8D+Nakashinmichi/data=!4m7!3m6!1s0x60010633bd6451e7:0xb06f5edc02580f2b!8m2!3d35.0037677!4d135.7390931!16s%2Fg%2F11bwf841ct!19sChIJ51FkvTMGAWARKw9YAtxeb7A?authuser=0&hl=es-419&rclk=1","Lawson - Shijō Nakashinmichi","2.7","(36)","Tienda de alimentación","·","","·","2-2 Mibumorimachi","Abierto las 24 horas","·","075-406-5963","https://www.e-map.ne.jp/p/lawson/dtl/238144/","","Sitio web","","Indicaciones","""Buena tienda de conveniencia""","",""
"https://www.google.com/maps/place/FamilyMart+Keihan-Fujinomori-Station-mae/data=!4m7!3m6!1s0x60010f72ba5253d3:0xa63bd78bacde7ec1!8m2!3d34.9569544!4d135.7700694!16s%2Fg%2F12hl2kv8d!19sChIJ01NSunIPAWARwX7erIvXO6Y?authuser=0&hl=es-419&rclk=1","FamilyMart Keihan-Fujinomori-Station-mae","3.1","(27)","Tienda de alimentación","·","","7 Fukakusa Kitorocho","·","Abierto las 24 horas","","075-646-3580","https://as.chizumaru.com/famima/detailmap?account=famima&bid=36320","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/FamilyMart+-+Shogoin/data=!4m7!3m6!1s0x600108f1ae3b5281:0x2f8e49123b5ddc4a!8m2!3d35.0172901!4d135.7777887!16s%2Fg%2F1v3kmzg4!19sChIJgVI7rvEIAWARStxdOxJJji8?authuser=0&hl=es-419&rclk=1","FamilyMart - Shogoin","3.8","(22)","Tienda de alimentación","·","","43-5 Shogoin Sannocho","·","Abierto las 24 horas","","075-762-2727","https://as.chizumaru.com/famima/detailmap?account=famima&bid=37931","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Lawson+-+BiVi+Kyoto+Nijo/data=!4m7!3m6!1s0x600107cda3f0a00b:0xa2f936bf0d4d946f!8m2!3d35.0106227!4d135.7409466!16s%2Fg%2F1tgcrsjc!19sChIJC6Dwo80HAWARb5RNDb82-aI?authuser=0&hl=es-419&rclk=1","Lawson - BiVi Kyoto Nijo","3.0","(31)","Tienda de alimentación","·","","·","1-6 Nishinokyo Toganoocho","Abierto las 24 horas","·","075-812-6031","https://www.e-map.ne.jp/p/lawson/dtl/166858/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Lawson+Kisshoin+Hainobori-Nishicho/data=!4m7!3m6!1s0x6001067109b0055f:0x351a7cc47fa825a!8m2!3d34.9721534!4d135.7268418!16s%2Fg%2F1w0p5jcv!19sChIJXwWwCXEGAWARWoL6R8ynUQM?authuser=0&hl=es-419&rclk=1","Lawson Kisshoin Hainobori-Nishicho","2.9","(33)","Tienda de alimentación","·","","·","1-1 Kisshoin Hainoborinishicho","Abierto las 24 horas","·","075-661-2321","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/Lawson+Kuze+Nakahisa-cho/data=!4m7!3m6!1s0x600105d58dcc947d:0x7550b0eae9eab54d!8m2!3d34.9608752!4d135.7175291!16s%2Fg%2F12hyj43qv!19sChIJfZTMjdUFAWARTbXq6eqwUHU?authuser=0&hl=es-419&rclk=1","Lawson Kuze Nakahisa-cho","2.7","(58)","Tienda de alimentación","·","","·","688-1 Kuzenakahisacho","Abierto las 24 horas","·","075-933-1963","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x60010f887ef3085f:0xddd353186b825fd5!8m2!3d34.9426882!4d135.8133856!16s%2Fg%2F11mhsx3vqq!19sChIJXwjzfogPAWAR1V-CaxhT090?authuser=0&hl=es-419&rclk=1","7-Eleven","2.4","(16)","Tienda de alimentación","·","","·","1番1 Daigotatsumicho","Abierto las 24 horas","·","075-573-1371","https://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/7-Eleven+Fukakusa+Nishiura+8-chome/data=!4m7!3m6!1s0x60010f6fa65e6e77:0x311620a553114cde!8m2!3d34.9575377!4d135.7632275!16s%2Fg%2F11btrrvr1m!19sChIJd25epm8PAWAR3kwRU6UgFjE?authuser=0&hl=es-419&rclk=1","7-Eleven Fukakusa Nishiura 8-chome","2.5","(21)","Tienda de alimentación","·","","·","132 Fukakusa Nishiuracho","Abierto las 24 horas","·","075-645-8081","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Lawson+-+Ky%C5%8Dto+Nishi+Hongan-ji+Temple/data=!4m7!3m6!1s0x600108a0f351b755:0x373b84bbf25c8abc!8m2!3d34.992923!4d135.753313!16s%2Fg%2F1tdfb_vc!19sChIJVbdR86AIAWARvIpc8ruEOzc?authuser=0&hl=es-419&rclk=1","Lawson - Kyōto Nishi Hongan-ji Temple","3.1","(70)","Tienda de alimentación","·","","·","西中筋通六条下るSumiyoshicho, 50","Abierto las 24 horas","·","075-354-8186","https://www.e-map.ne.jp/p/lawson/dtl/169880/","","Sitio web","","Indicaciones","""Dispone de mesas donde puedes tomar lo que compras allí mismo.""","",""
"https://www.google.com/maps/place/7-Eleven+Kyoto-Higashiyama-Donguribashi-mae/data=!4m7!3m6!1s0x600108c065170001:0xc92e30d90c957d21!8m2!3d35.0020741!4d135.7717332!16s%2Fg%2F11bcclz32h!19sChIJAQAXZcAIAWARIX2VDNkwLsk?authuser=0&hl=es-419&rclk=1","7-Eleven Kyoto-Higashiyama-Donguribashi-mae","3.0","(58)","Tienda de alimentación","·","","1 Chome-236 Miyagawasuji","·","Abierto las 24 horas","","075-561-9881","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x600108cf41b1e2d1:0xef6c63217b8bc05e!8m2!3d34.9964391!4d135.776966!16s%2Fg%2F1tdjr0w3!19sChIJ0eKxQc8IAWARXsCLeyFjbO8?authuser=0&hl=es-419&rclk=1","FamilyMart","2.8","(66)","Tienda de alimentación","·","","·","4 Chome-182-18 Kiyomizu","Abierto las 24 horas","·","075-533-6665","https://as.chizumaru.com/famima/detailmap?account=famima&bid=37794","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Lawson+Hirakata+Funahashihonmachi+2-chome/data=!4m7!3m6!1s0x60011b66f4ad56d9:0xa6d53acbaa0fb867!8m2!3d34.853301!4d135.6831105!16s%2Fg%2F11btx3z1_r!19sChIJ2Vat9GYbAWARZ7gPqss61aY?authuser=0&hl=es-419&rclk=1","Lawson Hirakata Funahashihonmachi 2-chome","2.2","(29)","Tienda de alimentación","·","","·","Funahashihonmachi, 2 Chome−３１","Abierto","·","072-868-3378","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/7-Eleven+Yamashina-Kanshuji/data=!4m7!3m6!1s0x60010e684579c5e9:0x4a7d57d12ef63c87!8m2!3d34.9577002!4d135.8106714!16s%2Fg%2F1wfcp134!19sChIJ6cV5RWgOAWARhzz2LtFXfUo?authuser=0&hl=es-419&rclk=1","7-Eleven Yamashina-Kanshuji","2.3","(50)","Tienda de alimentación","·","","·","22-1 Kanshuji Goshouchicho","Abierto las 24 horas","·","075-573-1118","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/LAWSON+Ninnajikaido-Shichihonmatsu+Store/data=!4m7!3m6!1s0x600107e9d8627f79:0x21def0d3d9487c5c!8m2!3d35.0246254!4d135.7395649!16s%2Fg%2F11clwjgzgs!19sChIJeX9i2OkHAWARXHxI2dPw3iE?authuser=0&hl=es-419&rclk=1","LAWSON Ninnajikaido-Shichihonmatsu Store","2.2","(41)","Tienda de alimentación","·","","·","103-1 Ichibancho","Abierto las 24 horas","·","075-465-2227","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/Lawson+Katagihara-Hagamach%C5%8D/data=!4m7!3m6!1s0x600106c47c99f83d:0xa47c24e068a61afc!8m2!3d34.9725713!4d135.6900033!16s%2Fg%2F11gcbz2s13!19sChIJPfiZfMQGAWAR_BqmaOAkfKQ?authuser=0&hl=es-419&rclk=1","Lawson Katagihara-Hagamachō","2.6","(28)","Tienda de alimentación","·","","·","1-7 Katagiharahagamacho","Abierto las 24 horas","·","075-748-9988","https://www.lawson.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/LAWSON+Shin+Kyoto+Center+Building+Store/data=!4m7!3m6!1s0x600108a8af26064d:0x8b2f94cb9c772d04!8m2!3d34.987383!4d135.7565898!16s%2Fg%2F1tdg7pvg!19sChIJTQYmr6gIAWARBC13nMuUL4s?authuser=0&hl=es-419&rclk=1","LAWSON Shin Kyoto Center Building Store","3.6","(44)","Tienda de alimentación","·","","·","塩小路通烏丸西入Higashishiokojicho, 614","Abierto las 24 horas","·","075-344-8072","","","Indicaciones","","","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x6001086dfc55373b:0x24cac0513133619e!8m2!3d35.033859!4d135.7591932!16s%2Fg%2F1tg2kkzz!19sChIJOzdV_G0IAWARnmEzMVHAyiQ?authuser=0&hl=es-419&rclk=1","FamilyMart","4.5","(19)","Tienda de alimentación","·","","烏丸通寺之内上るSokokuji Monzencho, 647-8","·","Abierto las 24 horas","","075-417-0616","https://as.chizumaru.com/famima/detailmap?account=famima&bid=30480","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/LAWSON+Gion+Yasui+Store/data=!4m7!3m6!1s0x600108c45a866347:0x39aa909a854f7fc9!8m2!3d35.0005!4d135.777654!16s%2Fg%2F1tdzr0ss!19sChIJR2OGWsQIAWARyX9PhZqQqjk?authuser=0&hl=es-419&rclk=1","LAWSON Gion Yasui Store","3.0","(43)","Tienda de alimentación","·","","·","東大路松原上ルBishamoncho, 4 Chome−34","Abierto","·","075-541-2141","https://www.e-map.ne.jp/p/lawson/dtl/088070/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/LAWSON+Kujo-Kawaramachi+Store/data=!4m7!3m6!1s0x60010f4d1c657001:0x1b28bfcb6a8902e!8m2!3d34.9808907!4d135.7637228!16s%2Fg%2F11bv1nf303!19sChIJAXBlHE0PAWARLpCotvyLsgE?authuser=0&hl=es-419&rclk=1","LAWSON Kujo-Kawaramachi Store","3.1","(62)","Tienda de alimentación","·","","·","57-1 Higashikujo Minamisannocho","Abierto las 24 horas","·","075-693-8675","https://www.e-map.ne.jp/p/lawson/dtl/292209/","","Sitio web","","Indicaciones","Retiro en tienda","·","Entrega a domicilio"
"https://www.google.com/maps/place/FamilyMart;+JR+Nagao+Station/data=!4m7!3m6!1s0x60011bcd7b2fe2f7:0x20fb218fefa1c1a4!8m2!3d34.8258985!4d135.7124211!16s%2Fg%2F1tf_0_24!19sChIJ9-Ive80bAWARpMGh748h-yA?authuser=0&hl=es-419&rclk=1","FamilyMart; JR Nagao Station","2.1","(29)","Tienda de alimentación","·","","·","5 Chome-20-21 Nagao Motomachi","Abierto las 24 horas","·","072-864-5590","https://as.chizumaru.com/famima/detailmap?account=famima&bid=52292","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/7-Eleven+Kyoto-Matsumuro/data=!4m7!3m6!1s0x600107390e975857:0x826fb567b8aff5d5!8m2!3d34.9983985!4d135.6887046!16s%2Fg%2F11c55v7yj_!19sChIJV1iXDjkHAWAR1fWvuGe1b4I?authuser=0&hl=es-419&rclk=1","7-Eleven Kyoto-Matsumuro","2.0","(34)","Tienda de alimentación","·","","·","37 Matsumurooiagecho","Abierto las 24 horas","·","075-381-0650","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/7-Eleven+Kyoto-Higashinotoin-Nishiki/data=!4m7!3m6!1s0x6001089a6462882b:0xd4a3a040d3d3d620!8m2!3d35.005185!4d135.7609829!16s%2Fg%2F1tj45tf6!19sChIJK4hiZJoIAWARINbT00Cgo9Q?authuser=0&hl=es-419&rclk=1","7-Eleven Kyoto-Higashinotoin-Nishiki","3.2","(62)","Tienda de alimentación","·","","·","東洞院通錦小路上るMototakedacho, 647-1","Abierto las 24 horas","·","075-211-0251","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Fresco+-+Gojo+Nishinotoin/data=!4m7!3m6!1s0x600108a1e8641f19:0xe77aeac3e21752eb!8m2!3d34.9960197!4d135.7557533!16s%2Fg%2F1th56x0d!19sChIJGR9k6KEIAWAR61IX4sPqeuc?authuser=0&hl=es-419&rclk=1","Fresco - Gojo Nishinotoin","3.8","(723)","Tienda de alimentación","·","","·","若宮通五条下ルBishamoncho, 33-1","Abierto las 24 horas","·","075-353-9751","https://www.super-fresco.co.jp/store/fresco/kyoto/shimogyo/gojyonishi/","","Sitio web","","Indicaciones","""8 nigiris de atún me costaron 1,50€""","",""
"https://www.google.com/maps/place/FamilyMart+-+Sanjo+Omiya/data=!4m7!3m6!1s0x6001075e04a4c977:0x437a6ec988b306d3!8m2!3d35.0083615!4d135.7475538!16s%2Fg%2F11jfl_4ypk!19sChIJd8mkBF4HAWAR0waziMluekM?authuser=0&hl=es-419&rclk=1","FamilyMart - Sanjo Omiya","3.2","(32)","Tienda de alimentación","·","","５０番３ Kamikawaracho","·","Abierto las 24 horas","","075-823-6318","https://www.family.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x60010895c6af4a0b:0xe8a646a630f223d2!8m2!3d34.9965169!4d135.7663529!16s%2Fg%2F11btrrnzlg!19sChIJC0qvxpUIAWAR0iPyMKZGpug?authuser=0&hl=es-419&rclk=1","7-Eleven","2.8","(63)","Tienda de alimentación","·","","·","河原町通五条上ルAzuchicho, 612","Abierto las 24 horas","·","075-341-0710","https://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/FamilyMart+-+Keihan+Sanjo/data=!4m7!3m6!1s0x600108ec86d4a801:0xea5f6a71a83f98b2!8m2!3d35.0093133!4d135.773258!16s%2Fg%2F1ptydxgm7!19sChIJAajUhuwIAWARspg_qHFqX-o?authuser=0&hl=es-419&rclk=1","FamilyMart - Keihan Sanjo","3.1","(51)","Tienda de alimentación","·","","·","104-1 Ohashicho","Abierto las 24 horas","·","075-762-1113","https://as.chizumaru.com/famima/detailmap?account=famima&bid=36610","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/Ministop+-+Arashiyama+Station/data=!4m7!3m6!1s0x600107515f90fbfd:0x3031fb8b956a4951!8m2!3d35.0102263!4d135.6811508!16s%2Fg%2F1tcykygm!19sChIJ_fuQX1EHAWARUUlqlYv7MTA?authuser=0&hl=es-419&rclk=1","Ministop - Arashiyama Station","3.1","(52)","Tienda de alimentación","·","","Arashiyama Nishiichikawacho, ８−1","·","Abierto las 24 horas","","075-861-6816","https://www.ministop.co.jp/","","Sitio web","","Indicaciones","Entrega a domicilio","",""
"https://www.google.com/maps/place/Fresco+-+Shijo/data=!4m7!3m6!1s0x6001089ce7a201cf:0xae8a6bef155c4e75!8m2!3d35.0038254!4d135.7549951!16s%2Fg%2F1tl1hsrz!19sChIJzwGi55wIAWARdU5cFe9riq4?authuser=0&hl=es-419&rclk=1","Fresco - Shijo","3.8","(458)","Tienda de alimentación","·","","西洞院通四条上ルToroyamacho, 481","·","Abierto las 24 horas","","075-257-3553","https://www.super-fresco.co.jp/store/fresco/kyoto/nakagyo/sijyo/","","Sitio web","","Indicaciones","Entrega a domicilio","",""
"https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600108b2e4824afd:0x27187211eb6285b9!8m2!3d34.9841951!4d135.763164!16s%2Fg%2F11bw1yxb4h!19sChIJ_UqC5LIIAWARuYVi6xFyGCc?authuser=0&hl=es-419&rclk=1","7-Eleven","4.0","(68)","Tienda de alimentación","·","","·","Higashikujo Nishiiwamotocho, １６−16","Abierto las 24 horas","·","075-681-1007","http://www.sej.co.jp/","","Sitio web","","Indicaciones","""Sin duda, recomendable.""","",""
"https://www.google.com/maps/place/Lawson+Kisshoin+Nagata/data=!4m7!3m6!1s0x600105e71def1279:0x9d95fe0cb6a5ac13!8m2!3d34.9636175!4d135.7354517!16s%2Fg%2F1z45076zr!19sChIJeRLvHecFAWARE6yltgz-lZ0?authuser=0&hl=es-419&rclk=1","Lawson Kisshoin Nagata","2.5","(19)","Tienda de alimentación","·","","·","601 Kisshoin Nagatacho","Abierto las 24 horas","·","075-693-8763","https://www.e-map.ne.jp/p/lawson/dtl/229116/","","Sitio web","","Indicaciones","Retiro en tienda","",""
"https://www.google.com/maps/place/7-Eleven+Kyoto-Karasuma-Kujo/data=!4m7!3m6!1s0x60010f534a60d77b:0xc9c4ce05e8a4bf5e!8m2!3d34.9796473!4d135.7579127!16s%2Fg%2F11cs0f8z0d!19sChIJe9dgSlMPAWARXr-k6AXOxMk?authuser=0&hl=es-419&rclk=1","7-Eleven Kyoto-Karasuma-Kujo","2.5","(89)","Tienda de alimentación","·","","·","43 Higashikujo Shimotonodacho","Abierto las 24 horas","·","075-662-8228","http://www.sej.co.jp/","","Sitio web","","Indicaciones","Retiro en tienda","",""
