link,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,ah5Ghc,W4Efsd 7,latitude,longitude
https://www.google.com/maps/place/E-net+ATM/data=!4m7!3m6!1s0x600107393809a04b:0x6e8861f1d1aae7fd!8m2!3d34.9973214!4d135.7351021!16s%2Fg%2F11b5pm1cwq!19sChIJS6AJODkHAWAR_eeq0fFhiG4?authuser=0&hl=es-419&rclk=1,E-net ATM,,,ATM,·,,·,1-2 Mibuhigashitakadacho,Abierto,,,https://pkg.navitime.co.jp/enet/spot/detail?code=EN-176018&lcfrom=gbp,,Sitio web,,Indicaciones,,⋅ Cierra a las 8 p.m.,34.9973214,135.7351021
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x600106538ec74719:0xd51732f484e7c065!8m2!3d34.9946527!4d135.71942!16s%2Fg%2F11c1p4fy91!19sChIJGUfHjlMGAWARZcDnhPQyF9U?authuser=0&hl=es-419&rclk=1,7-Eleven,3.4,(23),コンビニエンスストア,·,,·,"Nishikyogoku Nishiomarucho, 40 ４０番",Abierto las 24 horas,·,075-322-6201,http://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9946527,135.71942
https://www.google.com/maps/place/Lawson+Kisshoin+Nishinosho/data=!4m7!3m6!1s0x6001066a0e0e206b:0xcdd73acf5c78b837!8m2!3d34.9839281!4d135.7292718!16s%2Fg%2F1tmgcb3d!19sChIJayAODmoGAWARN7h4XM86180?authuser=0&hl=es-419&rclk=1,Lawson Kisshoin Nishinosho,3.5,(21),コンビニエンスストア,·,,·,52-1 Kisshoin Nishinoshohigashi Yashikicho,Abierto las 24 horas,·,075-314-5710,https://www.lawson.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9839281,135.7292718
https://www.google.com/maps/place/FamilyMart+Kadonooji+Takatsuji/data=!4m7!3m6!1s0x600106524127fa75:0xf143e6ee96497b75!8m2!3d34.9990379!4d135.7194717!16s%2Fg%2F1tj52hg5!19sChIJdfonQVIGAWARdXtJlu7mQ_E?authuser=0&hl=es-419&rclk=1,FamilyMart Kadonooji Takatsuji,2.1,(34),コンビニエンスストア,·,,·,97-1 Saiinnishidacho,Abierto las 24 horas,·,075-325-5150,https://as.chizumaru.com/famima/detailmap?account=famima&bid=30514,,Sitio web,,Indicaciones,Retiro en tienda,,34.9990379,135.7194717
https://www.google.com/maps/place/FamilyMart+Umekoji+Kyoto-Nishi+Station+Store/data=!4m7!3m6!1s0x600107f06b9542d5:0x5cbf0bf4a43e2af5!8m2!3d34.9881532!4d135.7443863!16s%2Fg%2F11mhklc75n!19sChIJ1UKVa_AHAWAR9So-pPQLv1w?authuser=0&hl=es-419&rclk=1,FamilyMart Umekoji Kyoto-Nishi Station Store,3.7,(25),コンビニエンスストア,·,,9-3 Kankijicho,·,Abierto las 24 horas,,075-353-3005,https://www.family.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9881532,135.7443863
https://www.google.com/maps/place/7-Eleven+Ky%C5%8Dto+Mibugawa-Bukk%C5%8Dji/data=!4m7!3m6!1s0x6001062f5ce15555:0xf9e30362c5a10a2d!8m2!3d35.0016429!4d135.7463397!16s%2Fg%2F11_tnf2th!19sChIJVVXhXC8GAWARLQqhxWID4_k?authuser=0&hl=es-419&rclk=1,7-Eleven Kyōto Mibugawa-Bukkōji,2.0,(70),コンビニエンスストア,·,,·,29-4 Mibukayogoshocho,Abierto las 24 horas,·,075-821-6630,https://www.sej.co.jp/shop/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0016429,135.7463397
https://www.google.com/maps/place/%E9%8A%80%E8%A1%8CATM+%7C+%E3%82%A4%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88+%E3%83%A9%E3%82%A4%E3%83%95%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%E8%A5%BF%E5%A4%A7%E8%B7%AF%E8%8A%B1%E5%B1%8B%E7%94%BA+%E5%85%B1%E5%90%8C%E5%87%BA%E5%BC%B5%E6%89%80/data=!4m7!3m6!1s0x600107077fada861:0x7209843f01224725!8m2!3d34.992835!4d135.732595!16s%2Fg%2F11j6fl3kf4!19sChIJYaitfwcHAWARJUciAT-ECXI?authuser=0&hl=es-419&rclk=1,銀行ATM | イーネット ライフセントラルスクエア西大路花屋町 共同出張所,5.0,(1),ATM,·,,·,61 Nishishichijo Kakegoshicho,,,,https://pkg.navitime.co.jp/enet/spot/detail?code=EN-097471&lcfrom=gbp,,Sitio web,,Indicaciones,,,34.992835,135.732595
https://www.google.com/maps/place/%E3%82%86%E3%81%86%E3%81%A1%E3%82%87%E9%8A%80%E8%A1%8CATM+%E4%BA%AC%E9%83%BD%E6%9D%B1%E4%B8%AD%E6%B0%B4%E9%83%B5%E4%BE%BF%E5%B1%80/data=!4m7!3m6!1s0x6001064813264ac7:0x2909fbaa03625ab8!8m2!3d34.9952849!4d135.7320065!16s%2Fg%2F11ld8dgbxx!19sChIJx0omE0gGAWARuFpiA6r7CSk?authuser=0&hl=es-419&rclk=1,ゆうちょ銀行ATM 京都東中水郵便局,,,ATM,·,,7 Saiinhigashinakamizucho,·,Abierto,,075-313-1900,"https://map.japanpost.jp/p/search/dtl/300144414000/?&cond200=1&&his=sa,sa1,sa2",,Sitio web,,Indicaciones,,⋅ Cierra a las 5:30 p.m.,34.9952849,135.7320065
https://www.google.com/maps/place/Lawson+Store+100+Shichijo-Shichihonmatsu/data=!4m7!3m6!1s0x6001063dfd042073:0x10994f789ddea361!8m2!3d34.9890073!4d135.7380269!16s%2Fg%2F1tgjl5g4!19sChIJcyAE_T0GAWARYaPenXhPmRA?authuser=0&hl=es-419&rclk=1,Lawson Store 100 Shichijo-Shichihonmatsu,3.6,(26),コンビニエンスストア,·,,·,"Nishishichijo Minamihigashinocho, 18 リーフセラ七条",Abierto las 24 horas,·,075-323-6799,https://www.e-map.ne.jp/p/lawson/dtl/258454/,,Sitio web,,Indicaciones,Entrega a domicilio,,34.9890073,135.7380269
https://www.google.com/maps/place/7-Eleven+Nishiky%C5%8Dgoku+Athletic+Park/data=!4m7!3m6!1s0x6001070036f521cb:0x6d46f68c908546e0!8m2!3d34.9954486!4d135.7123378!16s%2Fg%2F11btrr82lw!19sChIJyyH1NgAHAWAR4EaFkIz2Rm0?authuser=0&hl=es-419&rclk=1,7-Eleven Nishikyōgoku Athletic Park,2.8,(28),コンビニエンスストア,·,,·,72 Nishikyogoku Goricho,Abierto las 24 horas,·,075-323-3865,https://www.sej.co.jp/,,Sitio web,,Indicaciones,Retiro en tienda,,34.9954486,135.7123378
https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x60010774608c9a49:0x458c75392fd97d06!8m2!3d34.9892989!4d135.7430697!16s%2Fg%2F11hfyb05yj!19sChIJSZqMYHQHAWARBn3ZLzl1jEU?authuser=0&hl=es-419&rclk=1,7-Eleven,3.4,(17),コンビニエンスストア,·,,·,"Sujakushokaicho, １−28",Abierto las 24 horas,·,075-343-9150,https://map.omni7.jp/7andimap/spot/detail?code=0000022054,,Sitio web,,Indicaciones,Retiro en tienda,,34.9892989,135.7430697
https://www.google.com/maps/place/FamilyMart+Shichijo-Mibu/data=!4m7!3m6!1s0x6001061cf2f8a31d:0xc7e3cb27b6e0feb7!8m2!3d34.9893334!4d135.7456917!16s%2Fg%2F1vg4jpyh!19sChIJHaP48hwGAWARt_7gtifL48c?authuser=0&hl=es-419&rclk=1,FamilyMart Shichijo-Mibu,3.7,(40),コンビニエンスストア,·,,·,35-18 Ebisubabacho,Abierto las 24 horas,·,075-353-5008,https://as.chizumaru.com/famima/detailmap?account=famima&bid=37795,,Sitio web,,Indicaciones,Retiro en tienda,,34.9893334,135.7456917
https://www.google.com/maps/place/E-net+ATM/data=!4m7!3m6!1s0x600107d0d3175fa9:0x1be5e03ac339ce5b!8m2!3d34.992482!4d135.731416!16s%2Fg%2F11j6fkrwjt!19sChIJqV8X09AHAWARW845wzrg5Rs?authuser=0&hl=es-419&rclk=1,E-net ATM,,,ATM,·,,·,26-1 Nishishichijo Kakegoshicho,Abierto las 24 horas,,,https://pkg.navitime.co.jp/enet/spot/detail?code=EN-185704&lcfrom=gbp,,Sitio web,,Indicaciones,,,34.992482,135.731416
https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E4%BF%A1%E7%94%A8%E9%87%91%E5%BA%ABATM/data=!4m7!3m6!1s0x6001072729131b6f:0xb00a2db86e7137f9!8m2!3d34.9998109!4d135.7344234!16s%2Fg%2F11txdvcb9g!19sChIJbxsTKScHAWAR-TdxbrgtCrA?authuser=0&hl=es-419&rclk=1,京都中央信用金庫ATM,4.0,(1),ATM,·,,6 Mibuhinokicho,Abierto,⋅ Cierra a las 9 p.m.,,,,,Indicaciones,,,,,34.9998109,135.7344234
https://www.google.com/maps/place/FamilyMart/data=!4m7!3m6!1s0x600106514fa9bb4d:0x9b7776ca732efa46!8m2!3d34.9925608!4d135.7194384!16s%2Fg%2F1hc3g1hrk!19sChIJTbupT1EGAWARRvouc8p2d5s?authuser=0&hl=es-419&rclk=1,FamilyMart,3.3,(16),コンビニエンスストア,·,,9-5 Nishikyogoku Nishiikedacho,·,Abierto las 24 horas,,075-325-5583,https://as.chizumaru.com/famima/detailmap?account=famima&bid=37776,,Sitio web,,Indicaciones,Retiro en tienda,,34.9925608,135.7194384
https://www.google.com/maps/place/Ky%C5%8Dto+Higashinakamizu+Post+Office/data=!4m7!3m6!1s0x6001064814acbd73:0xf6ba204b7ccac9b7!8m2!3d34.9953141!4d135.7320055!16s%2Fg%2F1tg35375!19sChIJc72sFEgGAWARt8nKfEsguvY?authuser=0&hl=es-419&rclk=1,Kyōto Higashinakamizu Post Office,3.4,(5),郵便局,·,,７ Saiinhigashinakamizucho,·,Abierto,,075-313-1900,https://map.japanpost.jp/p/search/dtl/300144414000/,,Sitio web,,Indicaciones,,⋅ Cierra a las 5 p.m.,34.9953141,135.7320055
https://www.google.com/maps/place/%E3%82%B3%E3%83%B3%E3%83%93%E3%83%8B/data=!4m7!3m6!1s0x600107007eb1da5d:0x76cffdaa300b69be!8m2!3d34.9979943!4d135.7425101!16s%2Fg%2F11yj4xg5pl!19sChIJXdqxfgAHAWARvmkLMKr9z3Y?authuser=0&hl=es-419&rclk=1,コンビニ,,,コンビニエンスストア,·,,"Chudoji Myobucho, 600 8807 千本通",,,,,,,Indicaciones,,,,,34.9979943,135.7425101
https://www.google.com/maps/place/LAWSON+Omiya+Gojo/data=!4m7!3m6!1s0x60010623dff7d961:0x7a4a3ceb873b4b9e!8m2!3d34.9960035!4d135.7473788!16s%2Fg%2F1tff2yg2!19sChIJYdn33yMGAWARnks7h-s8Sno?authuser=0&hl=es-419&rclk=1,LAWSON Omiya Gojo,3.8,(32),コンビニエンスストア,·,,·,Abierto las 24 horas,29-1 Chudojimae Dacho,·,075-341-6235,,,Indicaciones,,,Retiro en tienda,,34.9960035,135.7473788
https://www.google.com/maps/place/FamilyMart+Kadono-Shichijo/data=!4m7!3m6!1s0x6001065a3f43d7a5:0xdd148ab15db084cc!8m2!3d34.9878127!4d135.7201206!16s%2Fg%2F1tdr3652!19sChIJpddDP1oGAWARzISwXbGKFN0?authuser=0&hl=es-419&rclk=1,FamilyMart Kadono-Shichijo,3.3,(29),コンビニエンスストア,·,,·,70-1 Nishikyogoku Nanpocho,Abierto las 24 horas,·,075-326-2656,https://as.chizumaru.com/famima/detailmap?account=famima&bid=33626,,Sitio web,,Indicaciones,Retiro en tienda,,34.9878127,135.7201206
https://www.google.com/maps/place/FamilyMart+Nishioji-Kujo/data=!4m7!3m6!1s0x60010612cb59b4db:0xa61d0d34b515dd60!8m2!3d34.9786792!4d135.733232!16s%2Fg%2F1tgdt0nd!19sChIJ27RZyxIGAWARYN0VtTQNHaY?authuser=0&hl=es-419&rclk=1,FamilyMart Nishioji-Kujo,2.7,(26),コンビニエンスストア,·,,·,38 Kisshoin Shimizucho,Abierto las 24 horas,·,075-694-1008,https://as.chizumaru.com/famima/detailmap?account=famima&bid=37389,,Sitio web,,Indicaciones,Retiro en tienda,,34.9786792,135.733232
https://www.google.com/maps/place/E-net+ATM/data=!4m7!3m6!1s0x6001074ef6662871:0x7a72f4072f0f8498!8m2!3d35.002368!4d135.732212!16s%2Fg%2F11jgv_xyl1!19sChIJcShm9k4HAWARmIQPLwf0cno?authuser=0&hl=es-419&rclk=1,E-net ATM,,,ATM,·,,·,20-1 Saiinsanzocho,Abierto las 24 horas,,,https://pkg.navitime.co.jp/enet/spot/detail?code=EN-178791&lcfrom=gbp,,Sitio web,,Indicaciones,,,35.002368,135.732212
https://www.google.com/maps/place/Lawson+-+Shij%C5%8D+%C5%8Cmiya/data=!4m7!3m6!1s0x6001062edd133ced:0x42570c83842e576b!8m2!3d35.0037935!4d135.7462559!16s%2Fg%2F1tf4dycl!19sChIJ7TwT3S4GAWARa1cuhIMMV0I?authuser=0&hl=es-419&rclk=1,Lawson - Shijō Ōmiya,2.4,(36),コンビニエンスストア,·,,"Mibubojocho, １６−17‐7",·,Abierto las 24 horas,,075-841-6839,https://www.e-map.ne.jp/p/lawson/dtl/096879/,,Sitio web,,Indicaciones,Retiro en tienda,,35.0037935,135.7462559
